date,group,type_id,type_label,slot_id,product_key,title,quantity,unit,price,unit_price,linked_unit_price,offer_count,api_unit_price,unit_price_gap_pct,quantity_source,matched_category,category_level,raw_offer_count,source_count,source_ids,markets,source_mode,source_updated_at,generation,match_score,collected_at,source_observations,source_link
2026-09-24,bread_cereals,bread_toast,Tost ekmeği,id:1Z1S,id:1Z1S,Uno Süper Tost Ekmeği 470 Gr,0.47,kg,92.5,196.808511,218.598232,3,196.80852,0.0,api-refined,Tost Ekmeği,sub_category,3,3,"[""depot:carrefour-1012"",""depot:migros-4479"",""depot:sok-4707""]","[""carrefour"",""migros"",""sok""]",pinned-relative,24.09.2026 12:12,0,1.05,2026-09-24T20:53:13.254095+03:00,"[{""price"":85.0,""api_unit_price"":180.85106,""source_id"":""depot:migros-4479"",""market"":""migros"",""depot_name"":""Mjet Üsküdar Paşakapısı"",""index_time"":""24.09.2026 12:12""},{""price"":92.5,""api_unit_price"":196.80852,""source_id"":""depot:sok-4707"",""market"":""sok"",""depot_name"":""Şok Minifevziçakmak"",""index_time"":""24.09.2026 12:12""},{""price"":99.5,""api_unit_price"":211.70212,""source_id"":""depot:carrefour-1012"",""market"":""carrefour"",""depot_name"":""Istanbul Acıbadem Hıper"",""index_time"":""24.09.2026 12:12""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:carrefour-1012"":99.5,""depot:migros-4479"":85.0,""depot:sok-4707"":92.5},""previous_level"":102.74116897504949,""link_factor"":1.0}"
2026-09-24,bread_cereals,bread_toast,Tost ekmeği,id:20KG,id:0LNZ,İyilik Tost Ekmeği 670 Gr,0.67,kg,63.5,94.776119,132.521738,1,94.776115,0.0,api-refined,Tost Ekmeği,sub_category,1,1,"[""depot:migros-1991""]","[""migros""]",pinned-relative,24.09.2026 12:07,1,1.05,2026-09-24T20:53:13.254108+03:00,"[{""price"":63.5,""api_unit_price"":94.776115,""source_id"":""depot:migros-1991"",""market"":""migros"",""depot_name"":""Çiçekçi M Migros"",""index_time"":""24.09.2026 12:07""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:migros-1991"":63.5},""previous_level"":63.50000000000001,""link_factor"":1.3982608617835917}"
2026-09-24,bread_cereals,bread_toast,Tost ekmeği,id:1ZGC,id:1ZGC,Uno Büyük Tost Ekmeği 550 Gr,0.55,kg,88.7,161.272727,150.0,2,161.27273,0.0,api-refined,Tost Ekmeği,sub_category,3,2,"[""depot:hakmar-5521"",""depot:migros-1991""]","[""hakmar"",""migros""]",pinned-relative,24.09.2026 12:11,0,1.05,2026-09-24T20:53:13.254111+03:00,"[{""price"":79.9,""api_unit_price"":145.27274,""source_id"":""depot:hakmar-5521"",""market"":""hakmar"",""depot_name"":""Ahmediye  Üsküdar"",""index_time"":""24.09.2026 12:11""},{""price"":97.5,""api_unit_price"":177.27272,""source_id"":""depot:migros-1991"",""market"":""migros"",""depot_name"":""Çiçekçi M Migros"",""index_time"":""24.09.2026 12:11""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:hakmar-5521"":79.9,""depot:migros-1991"":97.5},""previous_level"":82.5,""link_factor"":1.0}"
2026-09-24,bread_cereals,bread_toast,Tost ekmeği,id:20E8,id:20E8,Untad Büyük Tost Ekmeği 670 Gr,0.67,kg,115.0,171.641791,178.009214,3,171.6418,0.0,api-refined,Tost Ekmeği,sub_category,3,3,"[""depot:carrefour-5254"",""depot:migros-1991"",""depot:tarim_kredi-7488""]","[""carrefour"",""migros"",""tarim_kredi""]",pinned-relative,24.09.2026 12:11,0,1.05,2026-09-24T20:53:13.254113+03:00,"[{""price"":115.0,""api_unit_price"":171.6418,""source_id"":""depot:migros-1991"",""market"":""migros"",""depot_name"":""Çiçekçi M Migros"",""index_time"":""24.09.2026 12:11""},{""price"":115.0,""api_unit_price"":171.6418,""source_id"":""depot:carrefour-5254"",""market"":""carrefour"",""depot_name"":""Istanbul Üsküdar Salacak Mını"",""index_time"":""24.09.2026 12:11""},{""price"":115.0,""api_unit_price"":171.6418,""source_id"":""depot:tarim_kredi-7488"",""market"":""tarim_kredi"",""depot_name"":""Istanbul Kadıköy Kızıltoprak"",""index_time"":""24.09.2026 12:11""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:carrefour-5254"":115.0,""depot:migros-1991"":115.0,""depot:tarim_kredi-7488"":115.0},""previous_level"":119.26617344074518,""link_factor"":1.0}"
2026-09-24,bread_cereals,bread_toast,Tost ekmeği,id:0ZDX,id:0ZDX,Uno Anadolu Tost Ekmeği 550 Gr,0.55,kg,49.5,90.0,90.0,1,90.0,0.0,api-refined,Tost Ekmeği,sub_category,1,1,"[""depot:sok-4707""]","[""sok""]",pinned-relative,24.09.2026 12:05,0,1.05,2026-09-24T20:53:13.254115+03:00,"[{""price"":49.5,""api_unit_price"":90.0,""source_id"":""depot:sok-4707"",""market"":""sok"",""depot_name"":""Şok Minifevziçakmak"",""index_time"":""24.09.2026 12:05""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:sok-4707"":49.5},""previous_level"":49.49999999999999,""link_factor"":1.0}"
2026-09-24,bread_cereals,bread_toast,Tost ekmeği,id:0ZYB,id:0ZYB,Nimet Tost Ekmeği 550 Gr,0.55,kg,50.5,91.818182,91.818182,1,91.818184,0.0,api-refined,Tost Ekmeği,sub_category,1,1,"[""depot:a101-6815""]","[""a101""]",pinned-relative,24.09.2026 12:08,0,1.05,2026-09-24T20:53:13.254117+03:00,"[{""price"":50.5,""api_unit_price"":91.818184,""source_id"":""depot:a101-6815"",""market"":""a101"",""depot_name"":""Kostak Ümraniye"",""index_time"":""24.09.2026 12:08""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:a101-6815"":50.5},""previous_level"":50.5,""link_factor"":1.0}"
2026-09-24,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:2157,id:207S,Untad Tam Buğday Ekmeği 400 Gr,0.4,kg,99.0,247.5,224.217389,2,247.5,0.0,api-refined,Tam Buğday Ekmeği,sub_category,2,2,"[""depot:carrefour-1012"",""depot:migros-1991""]","[""carrefour"",""migros""]",pinned-relative,24.09.2026 12:11,1,1.0667,2026-09-24T20:53:15.776593+03:00,"[{""price"":99.0,""api_unit_price"":247.5,""source_id"":""depot:migros-1991"",""market"":""migros"",""depot_name"":""Çiçekçi M Migros"",""index_time"":""24.09.2026 12:11""},{""price"":99.0,""api_unit_price"":247.5,""source_id"":""depot:carrefour-1012"",""market"":""carrefour"",""depot_name"":""Istanbul Acıbadem Hıper"",""index_time"":""24.09.2026 12:11""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:carrefour-1012"":99.0,""depot:migros-1991"":99.0},""previous_level"":99.0,""link_factor"":0.9059288444444444}"
2026-09-24,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:20E9,id:20E9,Uno %100 Tam Buğday Tava Ekmeği 450 Gr,0.45,kg,82.5,183.333333,199.304346,1,183.33334,0.0,api-refined,Tam Buğday Ekmeği,sub_category,1,1,"[""depot:carrefour-1012""]","[""carrefour""]",pinned-relative,24.09.2026 12:11,0,1.0667,2026-09-24T20:53:15.776605+03:00,"[{""price"":82.5,""api_unit_price"":183.33334,""source_id"":""depot:carrefour-1012"",""market"":""carrefour"",""depot_name"":""Istanbul Acıbadem Hıper"",""index_time"":""24.09.2026 12:11""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:carrefour-1012"":82.5},""previous_level"":89.68695557326049,""link_factor"":1.0}"
2026-09-24,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:1YBP,id:1YBP,Uno Ekşi Mayalı Tam Buğday Ekmek 450 Gr,0.45,kg,97.5,216.666667,216.666667,1,216.66667,0.0,api-refined,Tam Buğday Ekmeği,sub_category,1,1,"[""depot:migros-1991""]","[""migros""]",pinned-relative,24.09.2026 12:11,0,1.1,2026-09-24T20:53:15.776607+03:00,"[{""price"":97.5,""api_unit_price"":216.66667,""source_id"":""depot:migros-1991"",""market"":""migros"",""depot_name"":""Çiçekçi M Migros"",""index_time"":""24.09.2026 12:11""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:migros-1991"":97.5},""previous_level"":97.5,""link_factor"":1.0}"
2026-09-24,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:1261,id:0V4F,Uno Anadolu Tam Buğday Ekmeği 350 Gr,0.35,kg,43.0,122.857143,205.555556,1,122.85715,0.0,api-refined,Tam Buğday Ekmeği,sub_category,1,1,"[""depot:sok-4707""]","[""sok""]",pinned-relative,24.09.2026 12:06,1,1.0667,2026-09-24T20:53:15.776609+03:00,"[{""price"":43.0,""api_unit_price"":122.85715,""source_id"":""depot:sok-4707"",""market"":""sok"",""depot_name"":""Şok Minifevziçakmak"",""index_time"":""24.09.2026 12:06""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:sok-4707"":43.0},""previous_level"":43.0,""link_factor"":1.6731266166591552}"
